city,rainfall_available,rainfall_rows,rain_start,rain_end,precip_mean,precip_p90,precip_p95,precip_max,rainy_hour_share,event_threshold,event_hour_count,top_event_timestamp
New York,True,35056,2019-01-01 00:00:00,2024-12-31 23:00:00,0.005323169347710327,0.00393701,0.02362206,0.96063044,0.10138064810588772,0.00393701,3532,2023-09-29 10:00:00
Los Angeles,True,35057,2019-01-01 00:00:00,2024-12-31 23:00:00,0.0013622928318167556,0.0,0.0,0.5157483100000001,0.030179422084034572,0.0,35057,2024-02-04 20:00:00
Chicago,True,35055,2019-01-01 00:00:00,2024-12-31 23:00:00,0.00327258691741549,0.0,0.01181103,1.30708732,0.054314648409641994,0.0,35055,2022-07-17 05:00:00
Houston,True,35055,2019-01-01 00:00:00,2024-12-31 23:00:00,0.0035168601095421476,0.0,0.0,2.11811138,0.033204963628583654,0.0,35055,2019-08-14 20:00:00
Phoenix,True,35058,2019-01-01 00:00:00,2024-12-31 23:00:00,0.0006487565397341547,0.0,0.0,1.06692971,0.013606024302584289,0.0,35058,2022-07-30 19:00:00
Philadelphia,True,35056,2019-01-01 00:00:00,2024-12-31 23:00:00,0.003718911146166135,0.0,0.01181103,1.1692919700000002,0.08098471017800091,0.0,35056,2019-07-11 20:00:00
San Antonio,True,35055,2019-01-01 00:00:00,2024-12-31 23:00:00,0.0015387900826320535,0.0,0.0,1.20078805,0.041192411924119245,0.0,35055,2023-05-13 02:00:00
San Diego,True,35053,2019-01-01 00:00:00,2024-12-31 23:00:00,0.0010812372983054232,0.0,0.0,0.478346715,0.040310387128063216,0.0,35053,2024-01-22 10:00:00
Dallas,True,35055,2019-01-01 00:00:00,2024-12-31 23:00:00,0.002948293196833547,0.0,0.0,1.6043315750000002,0.043588646412779916,0.0,35055,2023-10-26 03:00:00
San Jose,True,35057,2019-01-01 00:00:00,2024-12-31 23:00:00,0.0010423412817696892,0.0,0.0,0.24015761,0.0334597940496905,0.0,35057,2019-02-04 03:00:00
Austin,True,35055,2019-01-01 00:00:00,2024-12-31 23:00:00,0.0024454273495934957,0.0,0.0,1.753937955,0.03888175723862502,0.0,35055,2022-08-22 17:00:00
