city,event_id,unit_group,unit_count,footprint_mass,mean_destination_importance_rank,mean_origin_exposure_rank,mean_local_need_rank,mean_local_remaining_rank,mean_active_weighted_horizon,mean_eta_per_cost_rank,mean_small_signal_unit_rank,mean_finite_unit_rank
Austin,484,footprint_top5pct_units,11,0.42642010539793745,0.45278875713658323,0.6587615283267457,0.9758454106280194,0.975735617039965,2.4054500832172323,0.552042160737813,0.523056653491436,0.8783487044356609
Austin,484,hybrid_finite_top5pct_units,11,0.31775647574484667,0.7571365832235397,0.8282828282828283,0.9169960474308302,0.922924901185771,2.4227786430369984,0.2476943346508564,0.821256038647343,0.9758454106280194
Austin,484,hybrid_small_signal_top5pct_units,11,0.02130706897850041,0.9609134826526133,0.8866930171277997,0.6100131752305665,0.6568218416044503,2.4408796742702736,0.04391743522178305,0.9758454106280194,0.9130434782608695
Austin,484,hybrid_selected_units,48,0.31795548065977297,0.7805958132045089,0.7976046698872786,0.6442230273752013,0.6732420826623725,2.4231275541095143,0.22423510466988728,0.8620169082125603,0.8396739130434782
Austin,484,footprint_top5pct_not_selected,9,0.30171752702069415,0.44015029522275895,0.6049382716049383,0.9715512614063341,0.9714170692431563,2.4047402104506,0.5646806226516371,0.4868491680085884,0.8604401502952227
Chicago,157,footprint_top5pct_units,45,0.4705789684352137,0.6242882338120432,0.6408667170571932,0.9746535651297555,0.9736751490719744,2.526782969084636,0.37654320987654327,0.6337616528092719,0.8839002267573697
Chicago,157,hybrid_finite_top5pct_units,45,0.3526192479483163,0.905820105820106,0.8381456286218194,0.9436885865457294,0.9510540018476527,2.556572855069514,0.09549004787100025,0.8978835978835977,0.9750566893424037
Chicago,157,hybrid_small_signal_top5pct_units,45,0.09415190345219948,0.9715545477450239,0.8743764172335602,0.8143613000755857,0.8440770135214581,2.567595939511221,0.029604434366339128,0.9750566893424037,0.9519778281683043
Chicago,157,hybrid_selected_units,98,0.19166467959149258,0.9003193113980287,0.8384006663890047,0.7110000462770141,0.7347632930723308,2.550279936579127,0.10072192142162986,0.9339742699801008,0.9017886065991023
Chicago,157,footprint_top5pct_not_selected,37,0.37469492518095415,0.551663908806766,0.587699944842802,0.9749954035668322,0.9734555984555984,2.5201730885422435,0.44910216338787773,0.5621437764294906,0.8614328614328614
Dallas,64,footprint_top5pct_units,19,0.6324827699789638,0.4457865976416451,0.4794362956571759,0.9754098360655737,0.975409836065574,3.279459324739331,0.5569456427955133,0.46333045729076794,0.8838078803566293
Dallas,64,hybrid_finite_top5pct_units,19,0.3904671345392176,0.7300834052343975,0.7066436583261433,0.9327006039689388,0.9483271019077749,3.3448007869722685,0.27264883520276106,0.7437446074201898,0.9754098360655737
Dallas,64,hybrid_small_signal_top5pct_units,19,0.021879684449961762,0.9690825424216278,0.9197584124245041,0.6745757837215991,0.7722054453072572,3.4140039492444885,0.03364969801553064,0.9754098360655737,0.9377336784584412
Dallas,64,hybrid_selected_units,33,0.048431689723460514,0.9393111442291769,0.7949163768835901,0.6737042556714687,0.7639233868742066,3.396576755081281,0.06342109620798146,0.9483358171882762,0.9072694154661369
Dallas,64,footprint_top5pct_not_selected,18,0.6218381155510003,0.4502125075895568,0.45081967213114754,0.9763205828779599,0.97632058287796,3.279959764593558,0.5525197328476018,0.4418639951426837,0.8797814207650273
Houston,52,footprint_top5pct_units,20,0.38826987193146667,0.3842239185750636,0.47531806615776084,0.9758269720101781,0.9756361323155216,2.771781833636997,0.6183206106870228,0.41055979643765894,0.8353689567430024
Houston,52,hybrid_finite_top5pct_units,20,0.19741617689883859,0.851526717557252,0.8618320610687025,0.7389312977099237,0.8895886344359626,2.8288366295853646,0.15101781170483458,0.8692111959287532,0.9758269720101781
Houston,52,hybrid_small_signal_top5pct_units,20,0.0374886910741013,0.9704834605597965,0.9304071246819337,0.49510178117048353,0.7375954198473283,2.8480403364792064,0.03206106870229008,0.9758269720101781,0.9492366412213741
Houston,52,hybrid_selected_units,40,0.09238643306330702,0.9355597964376591,0.8688931297709924,0.5079834605597965,0.7150127226463104,2.8314010095471347,0.06698473282442748,0.9442111959287531,0.9160305343511451
Houston,52,footprint_top5pct_not_selected,19,0.3680877342870302,0.379938395607339,0.4499799116110888,0.9754921655283247,0.9752912816392124,2.771679753480388,0.6226061336547474,0.39185750636132316,0.8279094683273067
Philadelphia,641,footprint_top5pct_units,33,0.638556926806647,0.4398659492117436,0.36316435381855944,0.5,0.9750700147896408,2.2582720376152494,0.5616916831870102,0.3981402813178514,0.9218823751534032
Philadelphia,641,hybrid_finite_top5pct_units,33,0.5109490789380332,0.6991881431133766,0.6104502973661852,0.5,0.9382847163220995,2.2726390382900163,0.30236948928537716,0.6744548286604362,0.9750778816199377
Philadelphia,641,hybrid_small_signal_top5pct_units,33,0.02122912258694634,0.9705465873690174,0.8504672897196262,0.5,0.7001557632398754,2.2896583601980245,0.031011045029736613,0.9750778816199377,0.916595865193996
Philadelphia,641,hybrid_selected_units,76,0.059133077387299844,0.8820503361206756,0.8503853090670602,0.5,0.6199120757501229,2.2779107500935236,0.11948680111493686,0.9315051647811118,0.8613297261846204
Philadelphia,641,footprint_top5pct_not_selected,32,0.626937075441303,0.4244548286604361,0.35455607476635514,0.5,0.9753577686915889,2.2577660216190054,0.5771028037383177,0.38254478193146413,0.9195385514018692
San Antonio,499,footprint_top5pct_units,16,0.3874615247801995,0.4683388157894737,0.6270559210526316,0.768092105263158,0.9745579769736843,2.286526655967353,0.5349506578947367,0.5256990131578947,0.8624588815789473
San Antonio,499,hybrid_finite_top5pct_units,16,0.2433372654998271,0.8630756578947368,0.861842105263158,0.643297697368421,0.9344161184210525,2.3105444771794246,0.14021381578947367,0.885279605263158,0.975328947368421
San Antonio,499,hybrid_small_signal_top5pct_units,16,0.06142919684649646,0.9734786184210527,0.8885690789473684,0.4868421052631579,0.7970805921052632,2.3199081529799352,0.029810855263157895,0.975328947368421,0.938733552631579
San Antonio,499,hybrid_selected_units,44,0.1726354439977958,0.8601973684210527,0.8307416267942584,0.4980562200956937,0.7278022826953748,2.3061424874569547,0.14309210526315788,0.9034838516746412,0.8847188995215312
San Antonio,499,footprint_top5pct_not_selected,12,0.32777261848255546,0.33251096491228077,0.5158991228070174,0.8207236842105262,0.9776818347953217,2.2812126746035664,0.6707785087719298,0.3900767543859649,0.8226425438596491
